"paragraph"	"words"	"characters"	"sentence"
"1"	1	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"2"	1	15	67	"Ut purus elit, vestibulum ut, placerat ac, adipiscing vitae, felis."
"3"	1	5	32	"Curabitur dictum gravida mauris."
"4"	1	15	67	"Nam arcu libero, nonummy eget, consectetuer id, vulputate a, magna."
"5"	1	6	30	"Donec vehicula augue eu neque."
"6"	1	14	93	"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas."
"7"	1	4	14	"Mauris ut leo."
"8"	1	6	31	"Cras viverra metus rhoncus sem."
"9"	1	8	51	"Nulla et lectus vestibulum urna fringilla ultrices."
"10"	1	9	53	"Phasellus eu tellus sit amet tortor gravida placerat."
"11"	1	15	63	"Integer sapien est, iaculis in, pretium quis, viverra ac, nunc."
"12"	1	8	44	"Praesent eget sem vel leo ultrices bibendum."
"13"	1	3	16	"Aenean faucibus."
"14"	1	15	63	"Morbi dolor nulla, malesuada eu, pulvinar at, mollis ac, nulla."
"15"	1	5	30	"Curabitur auctor semper nulla."
"16"	1	6	29	"Donec varius orci eget risus."
"17"	1	15	64	"Duis nibh mi, congue eu, accumsan eleifend, sagittis quis, diam."
"18"	1	9	46	"Duis eget orci sit amet orci dignissim rutrum."
"19"	2	15	69	"Nam dui ligula, fringilla a, euismod sodales, sollicitudin vel, wisi."
"20"	2	6	29	"Morbi auctor lorem non justo."
"21"	2	15	67	"Nam lacus libero, pretium at, lobortis vitae, ultricies et, tellus."
"22"	2	20	101	"Donec aliquet, tortor sed accumsan bibendum, erat ligula aliquet magna, vitae ornare odio metus a mi."
"23"	2	8	39	"Morbi ac orci et nisl hendrerit mollis."
"24"	2	4	21	"Suspendisse ut massa."
"25"	2	4	14	"Cras nec ante."
"26"	2	4	21	"Pellentesque a nulla."
"27"	2	14	85	"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
"28"	2	4	23	"Aliquam tincidunt urna."
"29"	2	5	36	"Nulla ullamcorper vestibulum turpis."
"30"	2	5	34	"Pellentesque cursus luctus mauris."
"31"	3	5	31	"Nulla malesuada porttitor diam."
"32"	3	15	71	"Donec felis erat, congue non, volutpat at, tincidunt tristique, libero."
"33"	3	5	32	"Vivamus viverra fermentum felis."
"34"	3	5	32	"Donec nonummy pellentesque ante."
"35"	3	5	33	"Phasellus adipiscing semper elit."
"36"	3	6	30	"Proin fermentum massa ac quam."
"37"	3	15	63	"Sed diam turpis, molestie vitae, placerat a, molestie nec, leo."
"38"	3	3	17	"Maecenas lacinia."
"39"	3	15	63	"Nam ipsum ligula, eleifend at, accumsan nec, suscipit a, ipsum."
"40"	3	6	35	"Morbi blandit ligula feugiat magna."
"41"	3	5	30	"Nunc eleifend consequat lorem."
"42"	3	6	29	"Sed lacinia nulla vitae enim."
"43"	3	6	39	"Pellentesque tincidunt purus vel magna."
"44"	3	4	17	"Integer non enim."
"45"	3	6	31	"Praesent euismod nunc eu purus."
"46"	3	6	30	"Donec bibendum quam in tellus."
"47"	3	5	30	"Nullam cursus pulvinar lectus."
"48"	3	4	12	"Donec et mi."
"49"	3	6	28	"Nam vulputate metus eu enim."
"50"	3	6	39	"Vestibulum pellentesque felis eu massa."
"51"	4	5	35	"Quisque ullamcorper placerat ipsum."
"52"	4	3	10	"Cras nibh."
"53"	4	8	47	"Morbi vel justo vitae lacus tincidunt ultrices."
"54"	4	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"55"	4	6	33	"In hac habitasse platea dictumst."
"56"	4	5	31	"Integer tempus convallis augue."
"57"	4	3	16	"Etiam facilisis."
"58"	4	5	30	"Nunc elementum fermentum wisi."
"59"	4	3	16	"Aenean placerat."
"60"	4	20	104	"Ut imperdiet, enim sed gravida sollicitudin, felis odio placerat quam, ac pulvinar elit purus eget enim."
"61"	4	4	18	"Nunc vitae tortor."
"62"	4	7	32	"Proin tempus nibh sit amet nisl."
"63"	4	8	47	"Vivamus quis tortor vitae risus porta vehicula."
"64"	5	3	13	"Fusce mauris."
"65"	5	6	33	"Vestibulum luctus nibh at lectus."
"66"	5	20	99	"Sed bibendum, nulla a faucibus semper, leo velit ultricies tellus, ac venenatis arcu wisi vel nisl."
"67"	5	3	16	"Vestibulum diam."
"68"	5	20	112	"Aliquam pellentesque, augue quis sagittis posuere, turpis lacus congue quam, in hendrerit risus eros eget felis."
"69"	5	8	46	"Maecenas eget erat in sapien mattis porttitor."
"70"	5	3	21	"Vestibulum porttitor."
"71"	5	3	15	"Nulla facilisi."
"72"	5	8	40	"Sed a turpis eu lacus commodo facilisis."
"73"	5	20	106	"Morbi fringilla, wisi in dignissim interdum, justo lectus sagittis dui, et vehicula libero dui cursus dui."
"74"	5	6	31	"Mauris tempor ligula sed lacus."
"75"	5	6	26	"Duis cursus enim ut augue."
"76"	5	4	14	"Cras ac magna."
"77"	5	3	11	"Cras nulla."
"78"	5	3	14	"Nulla egestas."
"79"	5	4	16	"Curabitur a leo."
"80"	5	6	31	"Quisque egestas wisi eget nunc."
"81"	5	6	26	"Nam feugiat lacus vel est."
"82"	5	3	23	"Curabitur consectetuer."
"83"	6	4	22	"Suspendisse vel felis."
"84"	6	16	69	"Ut lorem lorem, interdum eu, tincidunt sit amet, laoreet vitae, arcu."
"85"	6	6	29	"Aenean faucibus pede eu ante."
"86"	6	15	63	"Praesent enim elit, rutrum at, molestie non, nonummy vel, nisl."
"87"	6	16	72	"Ut lectus eros, malesuada sit amet, fermentum eu, sodales cursus, magna."
"88"	6	4	15	"Donec eu purus."
"89"	6	20	102	"Quisque vehicula, urna sed ultricies auctor, pede lorem egestas dui, et convallis elit erat sed nulla."
"90"	6	3	13	"Donec luctus."
"91"	6	4	18	"Curabitur et nunc."
"92"	6	15	71	"Aliquam dolor odio, commodo pretium, ultricies non, pharetra in, velit."
"93"	6	15	68	"Integer arcu est, nonummy in, fermentum faucibus, egestas vel, odio."
"94"	7	5	25	"Sed commodo posuere pede."
"95"	7	4	14	"Mauris ut est."
"96"	7	4	14	"Ut quis purus."
"97"	7	4	12	"Sed ac odio."
"98"	7	5	27	"Sed vehicula hendrerit sem."
"99"	7	4	14	"Duis non odio."
"100"	7	4	13	"Morbi ut dui."
"101"	7	6	29	"Sed accumsan risus eget odio."
"102"	7	6	33	"In hac habitasse platea dictumst."
"103"	7	4	22	"Pellentesque non elit."
"104"	7	8	40	"Fusce sed justo eu urna porta tincidunt."
"105"	7	15	65	"Mauris felis odio, sollicitudin sed, volutpat a, ornare ac, erat."
"106"	7	4	17	"Morbi quis dolor."
"107"	7	20	111	"Donec pellentesque, erat ac sagittis semper, nunc dui lobortis purus, quis congue purus metus ultricies tellus."
"108"	7	4	14	"Proin et quam."
"109"	7	15	91	"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos."
"110"	7	15	77	"Praesent sapien turpis, fermentum vel, eleifend faucibus, vehicula eu, lacus."
